id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0056,background,new_english_loft,v10,,"{wide/portrait}, loft, apartment, bed, window",0.5,,https://civitai.com/models/641138/a-small-loft-new-english-style-sd-15
sd15_0057,background,medieval_bridge,v10,,bridge,1,,https://civitai.com/models/1071930/bridges
sd15_0058,background,game_scene_realistic,v10,,"game icon institute, game icon",0.4-0.8,,https://civitai.com/models/97862/game-icon-research-institute-lora-scene-cutting
sd15_0059,background,game_scene_cartoon,v10,,"game icon institute, game icon",0.4-0.8,,https://civitai.com/models/114780/game-icon-institute
sd15_0060,background,game_scene_suimo,v10,,"game icon institute, game icon, sui_mo",0.4-0.8,,https://civitai.com/models/129947/game-icon-institutesuimov1
sd15_0061,background,game_scene_territory,v10,,"game icon institute, game icon",0.4-0.8,,https://civitai.com/models/97079/gameiconresearchcj2lora
sd15_0062,background,game_scene_hostel,v20,,game icon institute,0.4-0.8,,https://civitai.com/models/102883?modelVersionId=110568
sd15_0063,clothes,flower_blindfold,v10,,Flower Blindfold,0.7-1.0,https://civitai.com/api/download/models/155539?type=Model&format=SafeTensor,https://civitai.com/models/140356?modelVersionId=155539
sd15_0064,clothes,arabian_clothes_anime,v10,,arabian clothes,0.7,https://civitai.com/api/download/models/298830?type=Model&format=SafeTensor,https://civitai.com/models/265018/arabian-clothes
sd15_0065,clothes,chinese_opera_costume,v10,,"Chinese costume, large headpiece",,https://civitai.com/api/download/models/39682?type=Model&format=SafeTensor,https://civitai.com/models/33351/chinese-drama-costume
sd15_0066,clothes,china_opera_costume,v10,,guofeng,,https://civitai.com/api/download/models/83819?type=Model&format=SafeTensor,https://civitai.com/models/79016/china-opera-yuan-style
sd15_0067,clothes,beijing_opera_costume,v10,,beijing opera,,https://civitai.com/api/download/models/198061?type=Model&format=SafeTensor,https://civitai.com/models/176405/china-chic-or-beijing-opera-or
sd15_0068,clothes,hanfu,v30,,hanfu/ming style/tang style/song style/jin style/han style,,https://civitai.com/api/download/models/54777?type=Model&format=SafeTensor,https://civitai.com/models/15365?modelVersionId=54777
sd15_0069,clothes,hanfu_underdress,v03,,hanfu,0.7-chilloutmix/0.4-animation,,https://civitai.com/models/15961
sd15_0070,clothes,hanfu_winter,v10,,hanfu/winter hanfu/Cloak,0.5-0.65,https://civitai.com/api/download/models/117204?type=Model&format=SafeTensor,https://civitai.com/models/108815
sd15_0072,clothes,hanfu_niji,v10,,,,https://civitai.com/api/download/models/120119?type=Model&format=SafeTensor,https://civitai.com/models/111353/niji-chanfu
sd15_0073,clothes,hanfu_cyber,v10,,cyberhanfu/cheongsam/chinese_clothes,,https://civitai.com/api/download/models/99173?type=Model&format=SafeTensor,https://civitai.com/models/93030/cyberhanfu-cyber-chinese-style?modelVersionId=99173
sd15_0074,clothes,jyojifuku_china,v10,,"jyojifuku, hair ornament, skirt, see-through",0.4-0.7,,https://civitai.com/models/386991/china-dress
sd15_0075,clothes,jyojifuku_china_sleeveless,v20,,"jyojifuku, china dress, skirt",0.7,,https://civitai.com/models/393055/china-dress
sd15_0076,clothes,serafuku,,,"1girl, japanese school shirt, sailor collar, neckerchief, {long/short} sleeves, skirt, socks, black shoes",,,https://civitai.com/models/106552/realistic-and-anime-serafuku-sailor-uniform
sd15_0077,clothes,samurai_armor,v10,,"samurai, armor",,,https://civitai.com/models/83476/samurai-armor-japan-traditional-dress-series
sd15_0078,clothes,vn_nguyen_dynasty_empiror,,,"Vietnam dragon robe, emperor crown",0.6,,https://civitai.com/models/488092/vietnam-nguyen-dynasty-dragon-robe
sd15_0079,clothes,vn_nguyen_dynasty_officer,,,"Vietnamese court official, clothing",0.8,,https://civitai.com/models/494122/vietnam-nguyen-dynasty-court-official-clothing
sd15_0080,clothes,vn_ao_yem,v10,,<lora:AoYem_V4_Locon:1>,,,https://civitai.com/models/30692/ao-yem-vietnamese-dress-2
sd15_0081,clothes,vn_ao_ba_ba,v10,,,0.6-0.8,,https://civitai.com/models/107977/tq-vietnamese-dress-or-ao-ba-ba-or-clothing-lora
